index,Movie,Synopsis,Year,Duration,Rating,Meta Score,Genre
107, Midsommar,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,2019,2h 28m,7.1 ,72,Horror
108, Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",2016,1h 47m,7.6 ,81,Animation
109, Mononoke-hime,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",1997,2h 14m,8.3 ,76,Animation
110, Monsters University,"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",2013,1h 44m,7.2 ,65,Animation
111," Monsters, Inc","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",2001,1h 32m,8.1 ,79,"Adventure,Animation"
112, Mulan,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",1998,1h 27m,7.7 ,71,Animation
113, My Neighbour Totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",1988,1h 26m,8.1 ,86,Animation
114, No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,2007,2h 2m,8.2 ,92,Drama
115, One Flew Over the Cuckoo's Nest,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",1975,2h 13m,8.7 ,84,Drama
116, Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,2019,2h 12m,8.5 ,96,Drama
117, Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",2003,2h 23m,8.1 ,63,"Action,Adventure"
118, Predator,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,1987,1h 47m,7.8 ,47,Horror
119, Psycho,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",1960,1h 49m,8.5 ,97,Horror
120, Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1994,2h 34m,8.9 ,95,Drama
121, Raiders of the Lost Ark,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",1981,1h 55m,8.4 ,86,"Action,Adventure"
122, Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,2007,1h 51m,8.1 ,96,"Adventure,Animation"
123, Resident Evil,"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",2002,1h 40m,6.6 ,33,Horror
124, Saving Private Ryan,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",1998,2h 49m,8.6 ,91,Drama
125, Saw,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",2004,1h 43m,7.6 ,46,Horror
126, Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1993,3h 15m,9.0 ,95,Drama
127, Scream,"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.",1996,1h 51m,7.4 ,65,Horror
128, Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1995,2h 7m,8.6 ,65,Drama
129, Shaun of the Dead,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",2004,1h 39m,7.9 ,76,Horror
130, Shrek,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",2001,1h 30m,7.9 ,84,"Animation,Romance"
131, Shrek 2,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",2004,1h 33m,7.3 ,75,"Animation,Romance"
132, Shrek the Third,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",2007,1h 33m,6.1 ,58,Animation
133, Silver Linings Playbook,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",2012,2h 2m,7.7 ,81,Romance
134, Sleepy Hollow,Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people; the culprit is legendary apparition The Headless Horseman.,1999,1h 45m,7.3 ,65,Horror
135, Slumdog Millionaire,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""",2008,2h,8.0 ,84,Romance
136, Soul,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",2020,1h 40m,8.0 ,83,Animation
137, Spider-Man,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",2002,2h 1m,7.4 ,73,"Action,Adventure"
138, Spider-Man: Into the Spider-Verse,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,2018,1h 57m,8.4 ,87,Animation
139, Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",2021,2h 28m,8.2 ,71,"Action,Adventure"
140, Spider-man: Across the Spider-verse,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",2023,2h 20m,8.7 ,86,Animation
141, Spirited Away,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",2001,2h 5m,8.6 ,96,"Adventure,Animation"
142, Split,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,2016,1h 57m,7.3 ,63,Horror
143, Star Wars: Episode I - The Phantom Menace,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",1999,2h 16m,6.5 ,51,"Action,Adventure"
144, Star Wars: Episode III - Revenge of the Sith,"Three years into the Clone Wars, Obi-Wan pursues a new threat, while Anakin is lured by Chancellor Palpatine into a sinister plot to rule the galaxy.",2005,2h 20m,7.6 ,68,"Action,Adventure"
145, Star Wars: Episode IV - A New Hope,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1977,2h 1m,8.6 ,90,"Action,Adventure"
146, Star Wars: Episode V - The Empire Strikes Back,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",1980,2h 4m,8.7 ,82,"Action,Adventure"
147, Star Wars: Episode VI - Return of the Jedi,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",1983,2h 11m,8.3 ,58,"Action,Adventure"
148, Star Wars: The Force Awakens,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",2015,2h 18m,7.8 ,80,"Action,Adventure"
149, Sweeney Todd: The Demon Barber of Fleet Street,"The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett.",2007,1h 56m,7.3 ,83,Horror
150, Tangled,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",2010,1h 40m,7.7 ,71,"Animation,Romance"
151, Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",1991,2h 17m,8.6 ,75,Action
152, The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,2012,2h 23m,8.0 ,69,Action
153, The Cabin in the Woods,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",2011,1h 35m,7.0 ,72,Horror
154, The Conjuring,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,2013,1h 52m,7.5 ,68,Horror
155, The Conjuring 2,Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,2016,2h 14m,7.3 ,65,Horror
156, The Curious Case of Benjamin Button,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",2008,2h 46m,7.8 ,70,Romance
157, The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,2h 32m,9.0 ,84,"Action,Drama"
158, The Dark Knight Rises,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",2012,2h 44m,8.4 ,78,"Action,Drama"
159, The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2006,2h 31m,8.5 ,85,Drama
160, The Exorcist,"When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life.",1973,2h 2m,8.1 ,82,Horror
161, The Godfather,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",1972,2h 55m,9.2 ,100,Drama
162, The Godfather: Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1974,3h 22m,9.0 ,90,Drama
163, The Grand Budapest Hotel,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",2014,1h 39m,8.1 ,88,Adventure
164, The Great Gatsby,"A writer and wall street trader, Nick Carraway, finds himself drawn to the past and lifestyle of his mysterious millionaire neighbor, Jay Gatsby, amid the riotous parties of the Jazz Age.",2013,2h 23m,7.2 ,55,Romance
165, The Green Mile,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.",1999,3h 9m,8.6 ,61,Drama
166, The Hobbit: An Unexpected Journey,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",2012,2h 49m,7.8 ,58,Adventure
167, The Hunger Games,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,2012,2h 22m,7.2 ,68,"Action,Adventure"
168, The Incredibles,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",2004,1h 55m,8.0 ,90,Animation
169, The Lego Movie,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",2014,1h 40m,7.7 ,83,Animation
170, The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1994,1h 28m,8.5 ,88,"Adventure,Animation,Drama"
171, The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2001,2h 58m,8.8 ,92,"Action,Adventure,Drama"
172, The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2003,3h 21m,9.0 ,94,"Action,Adventure,Drama"
173, The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2002,2h 59m,8.8 ,87,"Action,Adventure,Drama"
174, The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",2015,2h 24m,8.0 ,80,"Adventure,Drama"
175, The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1999,2h 16m,8.7 ,73,Action
176, The Menu,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",2022,1h 47m,7.2 ,71,Horror
177, The Mist,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",2007,2h 6m,7.1 ,58,Horror
178, The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",1993,1h 16m,7.9 ,82,Animation
179, The Notebook,An elderly man reads to a woman with dementia the story of two young lovers whose romance is threatened by the difference in their respective social classes.,2004,2h 3m,7.8 ,53,Romance
180, The Others,"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted.",2001,1h 41m,7.6 ,74,Horror
181, The Prestige,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",2006,2h 10m,8.5 ,66,Drama
182, The Problem with Apu?,"After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",2007,1h 27m,7.3 ,80,Animation
183, The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,2015,2h 36m,8.0 ,76,"Action,Adventure"
184, The Ring,A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.,2002,1h 55m,7.1 ,57,Horror
185, The Shawshank Redemption,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",1994,2h 22m,9.3 ,82,Drama
186, The Shining,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",1980,2h 26m,8.4 ,66,"Drama,Horror"
187, The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1991,1h 58m,8.6 ,86,Drama
188, The Sixth Sense,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.",1999,1h 47m,8.2 ,64,Drama
189, The Terminal,"An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.",2004,2h 8m,7.4 ,55,Romance
190, The Terminator,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",1984,1h 47m,8.1 ,84,Action
191, The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,1982,1h 49m,8.2 ,57,Horror
192, The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,1998,1h 43m,8.2 ,90,Drama
193, The Usual Suspects,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,1995,1h 46m,8.5 ,77,Drama
194, The VVitch: A New-England Folktale,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession.",2015,1h 32m,7.0 ,84,Horror
195, The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",2013,3h,8.2 ,75,Drama
196, Thor,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",2011,1h 55m,7.0 ,57,Action
197, Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",2017,2h 10m,7.9 ,74,"Action,Adventure"
198, Titanic,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",1997,3h 14m,7.9 ,75,"Drama,Romance"
199, Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,1995,1h 21m,8.3 ,96,"Adventure,Animation"
200, Toy Story 2,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",1999,1h 32m,7.9 ,88,Animation
201, Toy Story 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",2010,1h 43m,8.3 ,92,"Adventure,Animation"
202, Up,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",2009,1h 36m,8.3 ,88,"Adventure,Animation,Drama"
203, Us,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,2019,1h 56m,6.8 ,81,Horror
204, V for Vendetta,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",2005,2h 12m,8.2 ,62,"Action,Drama"
205, WALL·E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",2008,1h 38m,8.4 ,95,"Adventure,Animation"
206, Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,2014,1h 46m,8.5 ,89,Drama
207, World War Z,Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.,2013,1h 56m,7.0 ,63,Horror
208, Wreck-It Ralph,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",2012,1h 41m,7.7 ,72,Animation
209, Zombieland,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.",2009,1h 28m,7.6 ,73,Horror
210, Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",2016,1h 48m,8.0 ,78,Animation
